Unnamed: 0,kmeans_0,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,uid,MP0045048_bin,MP0041080_bin,MP0110001_bin,MS0050011_bin,MP0050048_bin,mp_district_13_bin,MP0045115_bin,MP0110037_bin,MP0042110_bin,MP0110027_bin,MP0110022_bin,MP0110010_bin,MP0050003_bin,MP0110026_bin,mp_district_41_bin,MP0050047_bin,MP0110012_bin,MP0045110_bin,MP0110002_bin,MP0110044_bin,MP0050028_bin,MP0110024_bin,MP0110045_bin,MP0110009_bin,MP0041053_bin,MP0042067_bin,MP0050018_bin,MP0110006_bin,MP0110004_bin,MP0110020_bin,MP0110029_bin,MP0110011_bin,MP0110023_bin,MS0050001_bin,MP0110030_bin,MP0110046_bin,MP0110021_bin,label
15235,0,0,0,0,0,0,0,1,0,0,kn15236,17.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,17.0,15.0,15.0,13.0,1.0,15.0,0.0,2.0,0.0,12.0,0.0,17.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,17.0,0.0,0.0,18.0,17.0,0
15236,0,0,0,0,0,0,0,1,0,0,kn15237,6.0,1.0,0.0,11.0,17.0,0.0,0.0,8.0,7.0,3.0,7.0,4.0,1.0,3.0,0.0,10.0,0.0,9.0,0.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,12.0,18.0,0.0,7.0,6.0,0
15237,0,0,0,0,0,0,0,1,0,0,kn15238,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,15.0,5.0,13.0,11.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,13.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,15.0,0.0,0.0,13.0,12.0,0
15238,0,0,0,0,0,0,0,1,0,0,kn15239,15.0,0.0,0.0,1.0,3.0,0.0,0.0,15.0,7.0,12.0,14.0,11.0,1.0,12.0,0.0,11.0,0.0,9.0,0.0,14.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,13.0,0.0,15.0,15.0,0
15239,0,0,0,0,0,0,0,1,0,0,kn15240,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,15.0,19.0,19.0,1.0,15.0,0.0,5.0,0.0,9.0,0.0,19.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,18.0,11.0,0.0,0.0,16.0,18.0,0
15240,0,0,0,0,0,0,0,1,0,0,kn15241,6.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,13.0,11.0,9.0,12.0,1.0,11.0,0.0,9.0,0.0,6.0,0.0,9.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,10.0,4.0,0.0,10.0,11.0,0
15241,0,0,0,0,0,0,0,1,0,0,kn15242,14.0,14.0,0.0,7.0,19.0,0.0,0.0,13.0,18.0,10.0,8.0,19.0,1.0,10.0,0.0,2.0,1.0,15.0,0.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,5.0,18.0,0.0,0.0,13.0,10.0,0
15242,0,0,0,0,0,0,0,1,0,0,kn15243,10.0,5.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,1.0,3.0,0.0,15.0,1.0,12.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,8.0,10.0,0
15243,0,0,0,0,0,0,0,1,0,0,kn15244,10.0,1.0,0.0,11.0,14.0,0.0,0.0,13.0,15.0,12.0,9.0,1.0,2.0,12.0,0.0,5.0,0.0,7.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,16.0,2.0,0.0,13.0,10.0,0
15244,0,0,0,0,0,0,0,1,0,0,kn15245,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,15.0,13.0,1.0,1.0,15.0,0.0,15.0,0.0,2.0,0.0,11.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,9.0,6.0,0
